REQ_ID,TC_Description,TS_Description,TS_ExpectedResult
REQ005,"Create and schedule preventive maintenance","Select 'Calendar' as frequency method and 'Quarterly' as frequency","Frequency settings are configured"
REQ005,"Create and schedule preventive maintenance","Set start date to first day of next quarter","Start date is populated"
REQ005,"Create and schedule preventive maintenance","Select asset 'PUMP-001' from asset lookup","Asset is associated with the PM"
REQ005,"Create and schedule preventive maintenance","Navigate to 'Job Plan' tab and associate an existing job plan for pump maintenance","Job plan is linked to the PM"
REQ005,"Create and schedule preventive maintenance","Click 'Save' button to create the PM schedule","PM is created and appears in the PM schedule list"
REQ005,"Generate work orders from PM schedule","Navigate to PM application and click 'Generate Work Orders' button","Generate Work Orders dialog is displayed"
REQ005,"Generate work orders from PM schedule","Set date range to cover the next 3 months","Date range is entered correctly"
REQ005,"Generate work orders from PM schedule","Filter by PM type 'Quarterly' (optional)","Filter is applied if specified"
REQ005,"Generate work orders from PM schedule","Click 'OK' to generate work orders","System processes the request and displays generation results"
REQ005,"Generate work orders from PM schedule","Verify work orders created match PM schedule for the date range","Work orders are created with correct details from PM templates"
REQ005,"Set up meter-based preventive maintenance","Navigate to PM application and click 'New PM' button","New PM form is displayed"
REQ005,"Set up meter-based preventive maintenance","Enter 'Motor Oil Change' as description","Description is populated"
REQ005,"Set up meter-based preventive maintenance","Select 'Meter' as frequency method","Frequency method changes to meter-based"
REQ005,"Set up meter-based preventive maintenance","Select asset 'MOTOR-001' with meter 'RUNTIME_HOURS'","Asset and meter are selected"
REQ005,"Set up meter-based preventive maintenance","Enter '500' as meter reading interval","Meter interval is populated"
REQ005,"Set up meter-based preventive maintenance","Enter '50' as early generation point","Early generation point is populated"
REQ005,"Set up meter-based preventive maintenance","Associate appropriate job plan for oil change procedure","Job plan is linked to the meter-based PM"
REQ005,"Set up meter-based preventive maintenance","Click 'Save' button to create the meter-based PM","Meter-based PM is created and appears in PM list"
REQ006,"Generate asset performance reports","Navigate to Reports application","Reports interface is displayed"
REQ006,"Generate asset performance reports","Select 'Assets' category from report categories","Asset reports list is displayed"
REQ006,"Generate asset performance reports","Select 'Asset Failure Analysis' report","Report parameters dialog is displayed"
REQ006,"Generate asset performance reports","Set date range to cover the last 12 months","Date range is entered correctly"
REQ006,"Generate asset performance reports","Filter by location 'PLANT-A' to focus on specific area","Location filter is applied"
REQ006,"Generate asset performance reports","Click 'Run Report' to generate the asset performance report","Report is generated showing failure statistics"
REQ006,"Generate asset performance reports","Verify report contains failure counts, downtime metrics, and MTBF calculations","Report includes all required performance metrics"
REQ006,"Create maintenance cost reports","Navigate to Reports application","Reports interface is displayed"
REQ006,"Create maintenance cost reports","Select 'Costs' category from report categories","Cost reports list is displayed"
REQ006,"Create maintenance cost reports","Select 'Maintenance Cost Analysis' report","Report parameters dialog is displayed"
REQ006,"Create maintenance cost reports","Set date range to cover the current fiscal year","Date range is entered correctly"
REQ006,"Create maintenance cost reports","Group by 'Asset Type' to see costs by equipment category","Grouping parameter is set"
REQ006,"Create maintenance cost reports","Click 'Run Report' to generate the cost report","Report is generated showing maintenance costs"
REQ006,"Create maintenance cost reports","Verify report contains labor costs, material costs, and total costs by category","Report includes all required cost breakdowns"
REQ007,"Create purchase requisitions","Navigate to Purchasing application and select 'Requisitions'","Requisitions interface is displayed"
REQ007,"Create purchase requisitions","Click 'New Requisition' button","New Requisition form is displayed"
REQ007,"Create purchase requisitions","Enter 'Emergency bearings purchase' in description field","Description is populated"
REQ007,"Create purchase requisitions","Select requesting organization and GL account","Organization and account are selected"
REQ007,"Create purchase requisitions","Navigate to 'Lines' tab and click 'New Row'","New requisition line is displayed"
REQ007,"Create purchase requisitions","Select item 'BEARING-SKF123' from item lookup","Item is selected with description automatically populated"
REQ007,"Create purchase requisitions","Enter quantity '20' and verify unit cost is populated from item master","Quantity is entered and cost is displayed"
REQ007,"Create purchase requisitions","Click 'Save' button to save the requisition","Requisition is saved with 'WAPPR' status"
REQ007,"Convert requisition to purchase order","Navigate to Purchasing application and locate an approved requisition","Requisition details are displayed"
REQ007,"Convert requisition to purchase order","Click 'Select Action' menu and choose 'Create PO'","Create PO dialog is displayed"
REQ007,"Convert requisition to purchase order","Verify requisition lines are included in the PO creation","Requisition lines appear in the PO creation dialog"
REQ007,"Convert requisition to purchase order","Select vendor 'SKF-SUPPLIER' from vendor lookup","Vendor is selected for the purchase order"
REQ007,"Convert requisition to purchase order","Click 'OK' to create the purchase order","Purchase order is created with lines from requisition"
REQ007,"Convert requisition to purchase order","Verify purchase order status is 'WAPPR' and contains correct line items","PO is created with correct items and initial status"
REQ008,"Configure security groups and roles","Navigate to Security application as administrator","Security administration interface is displayed"
REQ008,"Configure security groups and roles","Click 'Security Groups' from the menu","Security Groups interface is displayed"
REQ008,"Configure security groups and roles","Click 'New Security Group' button","New Security Group form is displayed"
REQ008,"Configure security groups and roles","Enter 'MAINTENANCE_TECHS' as group name and meaningful description","Group name and description are populated"
REQ008,"Configure security groups and roles","Navigate to 'Applications' tab to set application access","Applications access configuration is displayed"
REQ008,"Configure security groups and roles","Grant access to Work Order and Asset applications with 'USER' insert/update rights","Access rights are configured for specified applications"
REQ008,"Configure security groups and roles","Navigate to 'Users' tab and click 'Add Users'","User selection dialog is displayed"
REQ008,"Configure security groups and roles","Select maintenance technician users to add to the group","Users are selected and added to the group"
REQ008,"Configure security groups and roles","Click 'Save' button to save the security group configuration","Security group is saved with configured access rights"
REQ008,"Verify role-based access control","Log out of system and log in as a maintenance technician user","User is authenticated and home page is displayed"
REQ008,"Verify role-based access control","Attempt to access Work Order application","Access is granted and application opens"
REQ008,"Verify role-based access control","Create a new work order and save it","Work order is created successfully"
REQ008,"Verify role-based access control","Attempt to access Purchasing application","Access is denied with appropriate message"
REQ009,"Create and manage service requests","Navigate to Service Desk application and click 'New Service Request'","New Service Request form is displayed"
REQ009,"Create and manage service requests","Enter 'HVAC not cooling in Building A' in description field","Description is populated"
REQ009,"Create and manage service requests","Select 'FACILITY' from request type dropdown","Request type is selected"
REQ009,"Create and manage service requests","Select 'JOHN_DOE' as affected person","Affected person is selected"
REQ009,"Create and manage service requests","Enter 'Room 203' in details field","Details are populated"
REQ009,"Create and manage service requests","Select 'HIGH' priority due to high temperatures","Priority is selected"
REQ009,"Create and manage service requests","Click 'Save' button to create the service request","Service request is created with a unique ID and 'NEW' status"
REQ009,"Process and resolve service requests","Navigate to Service Desk application and locate an open service request","Service request details are displayed"
REQ009,"Process and resolve service requests","Click 'Assign' button to assign the request","Assignment dialog is displayed"
REQ009,"Process and resolve service requests","Select owner 'HVAC_TECH' from person lookup","Owner is selected for the service request"
REQ009,"Process and resolve service requests","Click 'Save' to confirm assignment","Service request is updated with assigned owner"
REQ009,"Process and resolve service requests","Click 'Create Work Order' button","Create Work Order dialog is displayed"
REQ009,"Process and resolve service requests","Verify service request details are copied to work order fields","Work order form is populated with request information"
REQ009,"Process and resolve service requests","Make any necessary adjustments and click 'Save'","Work order is created and linked to service request"
REQ009,"Process and resolve service requests","After work is completed, change service request status to 'RESOLVED'","Status is updated to resolved"
REQ009,"Process and resolve service requests","Enter resolution details 'Replaced faulty thermostat'","Resolution information is recorded"
REQ010,"Configure workflow processes","Navigate to Workflow Designer application as administrator","Workflow Designer interface is displayed"
REQ010,"Configure workflow processes","Click 'New Workflow' button","New Workflow definition form is displayed"
REQ010,"Configure workflow processes","Enter 'WORKORDER_APPROVAL' as process name and 'Work Order Approval Process' as description","Process name and description are populated"
REQ010,"Configure workflow processes","Select 'WORKORDER' as object to associate workflow with","Object type is selected for workflow"
REQ010,"Configure workflow processes","Add start node and connect to 'Condition' node to check work order priority","Start and condition nodes are added and connected"
REQ010,"Configure workflow processes","Configure condition to check if priority equals 'HIGH'","Condition logic is configured"
REQ010,"Configure workflow processes","Add 'Manual Task' node for manager approval if condition is true","Task node is added for the high priority path"
REQ010,"Configure workflow processes","Add 'Automatic Task' node for auto-approval if condition is false","Task node is added for the normal priority path"
REQ010,"Configure workflow processes","Connect both paths to end node to complete workflow","Complete workflow diagram is created"
REQ010,"Configure workflow processes","Click 'Save' and then 'Activate' to enable the workflow","Workflow is saved and activated"
REQ010,"Test configured workflow process","Create a new work order with 'HIGH' priority","Work order is created with high priority"
REQ010,"Test configured workflow process","Submit work order which triggers workflow","Work order status changes to indicate in workflow"
REQ010,"Test configured workflow process","Log in as approving manager and check tasks inbox","Task appears in manager's inbox for approval"
REQ010,"Test configured workflow process","Select the approval task and click 'Approve'","Work order is approved and workflow proceeds"
REQ010,"Test configured workflow process","Verify work order status is updated according to workflow","Work order status changes to 'APPROVED'"
REQ010,"Test configured workflow process","Create another work order with 'MEDIUM' priority","Work order is created with medium priority"
REQ010,"Test configured workflow process","Submit work order which triggers workflow","Work order enters workflow process"
REQ010,"Test configured workflow process","Verify work order is automatically approved through the workflow","Work order is automatically approved without manual intervention"
